Product name,Reference,Category,SKU,Price CZK,Price EUR,Imp. Cost EUR,Imp. Cost CZK,Weight (g),Imported (pcs),Stock (pcs),Total orders
Dũa mỏng nhỏ tròn 100/100,2506 Dũa mỏng nhỏ tròn 100/100,Dũa,A0001018,280,12,3.48,86.62,100,200,-100,0
Dũa mỏng nhỏ tròn 80/80,2412 Dũa mỏng nhỏ 80/80,Dũa,A0000845,280,12,4.30,108.39,100,200,-2,0
Bột - Clear Nhanh khô,2510 Bột - Clear Nhanh Khô,Bột,A0001131,840,35,#N/A,476.81,100,51,-2,0
Bột - Natural Dark Pink,2510 Bột - Natural Dark Pink 660g,Bột,A0001125,840,35,#N/A,487.52,100,68,-1,0
Chrome base coat 250ml,2509 Chrome Base Coat 250ml,Hoá chất,A0001106,1250,50,15.04,365.19,100,60,-1,0
Giấy làm chân 50x70cm,2511 Giấy làm chân,Tools & Accessories,A0001215,550,22,11.52,278.68,100,432,-2,0
Găng tay Nitril đen - S,2502 Găng tay nitril đen - S,Tools & Accessories,A0000863,125,5,2.66,67.00,100,800,-30,0
Găng tay Nitril đen - M,2502 Găng tay nitril đen - M,Tools & Accessories,A0000864,158,5,Loading...,67.00,100,1000,-5,0
Vỏ nhám tím ⌗150 - M,2502 Vỏ nhám tím M #150 (100c),Tools & Accessories,A0000866,200,7,2.63,66.27,100,800,-10,0
Cốc đựng bột nhỏ,2502 Cốc đựng bột tròn nhỏ,Tools & Accessories,A0000869,50,2,1.19,30.03,100,100,-1,0
Hộp đựng tip 0-10,2508 Hộp đựng tip 0-10,Tools & Accessories,A0001078,50,2,0.39,9.47,100,500,-2,0
Típ làm mẫu 36 màu,2502 Bảng mẫu 36,Tools & Accessories,A0000874,75,3,0.99,24.94,100,400,-10,0
Kê tay cao - hồng,2502 Kê tay cao - hồng,Tools & Accessories,A0000875,200,8,2.06,51.82,100,20,-1,0
Kê tay cao - be,2502 Kê tay cao - be,Tools & Accessories,A0000876,200,8,2.06,51.82,100,20,-4,0
Kê tay cao - vàng,2502 Kê tay cao - vàng,Tools & Accessories,A0000877,200,8,Loading...,Loading...,100,20,-1,0
Máy bào di động - đen,2508 Máy bào di động 35K,Đồ điện,A0001064,2300,90,33.06,807.63,100,20,-3,0
